,ListNo,Acres,Area,Basemnt,City,County,Deck,GaragCap,Garage,HOAFee,Heat,Image,Latitude,Longitude,LstPrice,OpenHseDt,Patio,PkgSpacs,Pool,PropType,Roof,SchDist,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt,Prop_Type_num
182,1345287,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,See Remarks; Built-In; Opener; Parking: Covered,348.0,Gas: Central,1345287_6be92db234c0e260e1c0c7eac63fbdfd_437215.jpg,40.774001,-111.892032,235000,00/00/0000,0,0,See Remarks; Heated; In Ground,Condo,Composition; Flat,Salt Lake,225000,1972,1.0,2.0,1200,1976,0
183,1345085,0.28,101,Full; Walkout,Salt Lake City,Salt Lake,1,2,Attached; Opener,,Gas: Central; Gas: Stove; Hot Water,1345085_52f1bedbf2255d820e46007a066eecd4_110650.jpg,40.789056,-111.874032,555000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,520000,3358,4.0,3.0,3084,1963,2
185,1344371,0.12,101,Daylight; Partial,Salt Lake City,Salt Lake,1,0,Parking: Uncovered; Workshop,,Forced Air; Gas: Central; Gas: Stove; Wood Burning,1344371_de7601995c4dc6525d93cc750e0d9b11_1074003.jpg,40.771324,-111.864056,465000,00/00/0000,1,3,,Single Family,Asphalt Shingles; Pitched,Salt Lake,465000,2217,4.0,4.0,2980,1895,2
186,1344414,0.39,101,Daylight; Partial; Walkout,Salt Lake City,Salt Lake,1,2,Attached; Opener; Extra Length; Workshop,,Forced Air; Gas: Central,1344414_f2367fb4203bddd4f5ff9a3deac54c33_526345.jpg,40.78103,-111.84554399999999,799900,00/00/0000,2,0,,Single Family,See Remarks,Salt Lake,756500,5265,5.0,3.0,3780,1965,2
187,1344100,0.65,101,Daylight; Full,Salt Lake City,Salt Lake,2,3,Attached; Opener; Workshop,,Forced Air; Gas: Central,1344100_dc545981a32c833345611dff1399976c_101379.jpg,40.787163,-111.888924,974900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,877000,6461,3.0,5.0,6524,1977,2
188,1344075,0.06,101,Partial,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1344075_d6e787791fa254d11d81bac425096279_852084.jpg,40.783563,-111.894535,350000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,338500,2760,3.0,3.0,2432,1896,2
189,1343790,0.1,101,Partial,Salt Lake City,Salt Lake,1,0,Parking: Uncovered,,Forced Air; Gas: Central; Gas: Stove,1343790_cd35fb48f68b7e0c9da10a90ddf13585_574468.jpg,40.779336,-111.873406,324900,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,326900,1883,3.0,1.0,1621,1911,2
190,1343505,0.11,101,Entrance; Full; Walkout,Salt Lake City,Salt Lake,2,1,Detached; Opener; Workshop; Workbench,,Forced Air; Gas: Central,1343505_12c4d3bf3736135172db957ba89524ea_1888894.jpg,40.780589,-111.87268200000001,599000,00/00/0000,0,2,,Single Family,Asphalt Shingles,Salt Lake,570000,3327,4.0,2.0,2905,1906,2
192,1343083,0.09,101,Full; Shelf,Salt Lake City,Salt Lake,1,0,See Remarks; Detached; Opener,,Forced Air,1343083_a7583de9430c671e510890adac2b4315_840996.jpg,40.777951,-111.876099,485000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,460000,2405,4.0,2.0,1842,1915,2
193,1343258,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Heated; Parking: Covered,528.0,Forced Air; Gas: Central,1343258_603d1467dd1025e790b5a7aab309aa37_577561.jpg,40.772276,-111.886521,252000,00/00/0000,0,0,In Ground; With Spa,Condo,Composition,Salt Lake,250000,1897,2.0,2.0,1167,1976,0
194,1342875,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,Attached; Heated; Opener; Parking: Covered,348.0,Forced Air,1342875_754c8ca506f932d5de576a1a2c0a3ccc_650082.jpg,40.774253,-111.892928,230000,00/00/0000,0,0,Concrete/Gunite; Heated,Condo,Composition,Salt Lake,225000,2045,2.0,2.0,1200,1976,0
195,1344214,0.05,101,None/Crawl Space,Salt Lake City,Salt Lake,1,0,,,,1344214_0d86ba298b22787d3f10f0325f64a267_2303094.jpg,40.771389,-111.863767,245900,00/00/0000,0,0,,Single Family,,Salt Lake,246000,2070,2.0,1.0,1004,1896,2
196,1342718,0.08,101,Entrance; Partial; See Remarks,Salt Lake City,Salt Lake,1,0,Parking: Covered,,Forced Air; Gas: Central,1342718_33da7f141386e4f60905bc37f5e28b08_2042305.jpg,40.775513000000004,-111.864065,298500,00/00/0000,1,1,,Single Family,Asphalt Shingles,Salt Lake,308000,2747,3.0,2.0,1892,1915,2
197,1342451,0.37,101,Daylight; Entrance; Partial; Walkout,Salt Lake City,Salt Lake,0,4,Attached; Extra Width; Opener; Rv Parking; Extra Length; Workbench,,Forced Air,1342451_17550d3134d7206b240b987126df1512_47127.jpg,40.787345,-111.866973,725000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,692950,6343,5.0,4.0,5098,1971,2
198,1337906,0.03,101,Partial,Salt Lake City,Salt Lake,0,2,Built-In,250.0,Forced Air; Gas: Central,1337906_720a8bbefb5621e40146233c2e93660c_748371.jpg,40.779649,-111.878546,445000,00/00/0000,0,0,,Condo,Asphalt Shingles,Salt Lake,429900,3505,3.0,4.0,2546,1998,0
199,1342429,0.16,101,Partial,Salt Lake City,Salt Lake,0,0,Detached,,Gas: Radiant; Hot Water,1342429_d909110ca3c8106a4ee1197b03592156_367379.jpg,40.778117,-111.89195600000001,465000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,448000,1810,4.0,3.0,2282,1916,2
0,1337538,0.48,101,Daylight; Partial; Walkout,Salt Lake City,Salt Lake,2,2,Attached; Opener; Extra Length,,Forced Air; Gas: Central; Heat Pump,1337538_40f8cfe318314311f8ad2dfce4026f05_588946.jpg,40.786791,-111.86267,699000,00/00/0000,2,0,,Single Family,Asphalt Shingles,Salt Lake,680000,4887,5.0,3.0,3868,1970,2
1,1336560,0.33,101,None/Crawl Space,Salt Lake City,Salt Lake,0,2,Attached,,Gas: Central,1336560_19b1c9ef103e4e8853cd773f4cec5c5b_29983.jpg,40.774029999999996,-111.845674,760000,00/00/0000,0,0,,Single Family,Asphalt Shingles; Rubber (EPDM),Salt Lake,745000,5874,3.0,3.0,2631,1972,2
2,1336275,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Attached,228.0,Electric: Baseboard,1336275_b5c62d53942908c19c2ee8385d321194_77160.jpg,40.770905,-111.886101,273000,00/00/0000,2,0,,Condo,,Salt Lake,275000,2383,2.0,3.0,1259,1979,0
3,1335659,0.65,101,Daylight; Entrance; Walkout,Salt Lake City,Salt Lake,3,2,Attached; Opener,,Forced Air,1335659_c3d226592e28dfaa82a7f3feeece2da1_43260.jpg,40.789159999999995,-111.866459,715000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,705000,4745,4.0,3.0,3758,1979,2
4,1335495,0.11,101,Partial; Walkout,Salt Lake City,Salt Lake,1,2,Attached,,See Remarks; Forced Air; Gas: Central; &gt;= 95% efficiency,1335495_082183edcae6f3a9a6d51f1955f51b91_80252.jpg,40.784498,-111.87334399999999,439900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,461000,2983,3.0,2.0,2496,1953,2
7,1335632,0.27,101,Partial,Salt Lake City,Salt Lake,1,4,Extra Width; Opener; Extra Length,,Forced Air; Gas: Central,1335632_f822b84e7c1e8b3244f6c0221affa201_552899.jpg,40.789426,-111.89198700000001,999900,00/00/0000,1,0,,Single Family,Asphalt Shingles; Pitched,Salt Lake,960000,6624,6.0,4.0,6008,1994,2
8,1335125,0.15,101,Partial,Salt Lake City,Salt Lake,1,1,Detached; Opener,,Hot Water; Steam,1335125_2458d542286586f7bf04b479a678e33f_1012582.jpg,40.769424,-111.84988999999999,645000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,625000,4756,3.0,4.0,3400,1911,2
10,1334589,0.35,101,Full; Walkout,Salt Lake City,Salt Lake,0,2,Attached; Opener,,Forced Air; Gas: Central,1334589_f0b87436ff3c836ff781320fbeb2c199_513874.jpg,40.774299,-111.84574599999999,899000,00/00/0000,2,0,,Single Family,Asphalt Shingles,Salt Lake,859000,6679,5.0,3.0,4432,1970,2
11,1334604,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Heated; Opener,329.0,Forced Air; Gas: Central,1334604_1bedc25ab2f58fa3bffbb4326db6f4f8_715379.jpg,40.773058,-111.88447,595000,00/00/0000,0,0,In Ground; Indoor; With Spa,Condo,Asphalt Shingles; Composition,Salt Lake,570000,3133,2.0,2.0,2098,1985,0
12,1334422,0.16,101,Partial,Salt Lake City,Salt Lake,0,2,Detached; Extra Length,,Forced Air; Gas: Central,1334422_d98332198db89300fb934ef36a980c38_4543526.jpg,40.776153,-111.89375700000001,449900,00/00/0000,0,6,,Single Family,Wood Shake Shingles,Salt Lake,335000,2500,4.0,4.0,2066,1876,2
13,1334204,0.14,101,None/Crawl Space,Salt Lake City,Salt Lake,0,2,Detached; Opener,,Forced Air; Gas: Central,1334204_a48ec588b9461360b59de1d89ebeb1c6_1047575.jpg,40.780552,-111.898075,325000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,318000,1686,3.0,1.0,1735,1913,2
14,1333952,0.08,101,Shelf,Salt Lake City,Salt Lake,1,0,,,Forced Air; Gas: Central; &gt;= 95% efficiency,1333952_91eca40ac7c15324dbadbc37fa812aea_8952522.jpg,40.774213,-111.882267,349900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,367000,1350,5.0,2.0,2361,1896,2
15,1333335,0.01,101,Slab,Salt Lake City,Salt Lake,1,2,2 Car Deep (Tandem); Attached; Opener; Extra Length,,Forced Air; Gas: Central,1333335_7113da7bd3c8f2b3cd406a5ca6bc944c_4077032.jpg,40.784859999999995,-111.90006799999999,325000,00/00/0000,0,0,,Townhouse,Flat,Salt Lake,321500,1940,3.0,4.0,1854,2007,1
17,1333241,0.01,101,Full,Salt Lake City,Salt Lake,3,2,Built-In; Extra Width; Opener; Parking: Uncovered,610.0,Forced Air; Gas: Central; &gt;= 95% efficiency,1333241_3b0d298aa7965cb0c8d490f17294e197_321699.jpg,40.786,-111.878905,489000,00/00/0000,0,2,Concrete/Gunite; Fenced; In Ground,Condo,Asphalt Shingles,Salt Lake,460000,4100,4.0,3.0,3882,1983,0
18,1332887,0.23,101,Daylight,Salt Lake City,Salt Lake,0,2,Built-In; Opener,,Forced Air; Gas: Central,1332887_f292f5f0ea6c7bb62aa26b18452118a8_126865.jpg,40.785182,-111.865673,498000,00/00/0000,0,0,,Single Family,See Remarks; Flat,Salt Lake,487000,3504,4.0,3.0,2727,1975,2
19,1333031,0.11,101,Partial,Salt Lake City,Salt Lake,0,1,Detached,,Gas: Radiant,1333031_138668d5b44fb4ef76b219f4be1d9859_2583137.jpg,40.772208,-111.870072,298500,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,300000,2100,2.0,2.0,2031,1900,2
20,1333071,0.1,101,Partial; Shelf,Salt Lake City,Salt Lake,0,0,See Remarks; Detached,,Forced Air; Gas: Central,1333071_0697ad7bdab8ea5c03be9f209d60681e_155878.jpg,40.778772,-111.877025,324900,00/00/0000,1,1,,Single Family,Asphalt Shingles,Salt Lake,324900,1958,2.0,1.0,1832,1907,2
21,1332674,0.29,101,Partial,Salt Lake City,Salt Lake,1,3,Built-In; Opener,,Forced Air; Gas: Central,1332674_7550a3fd6e4466927478adaf754a02c6_738220.jpg,40.78949,-111.891625,830000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,820000,7061,5.0,4.0,4864,1992,2
22,1332405,0.1,101,Full,Salt Lake City,Salt Lake,1,0,,,Forced Air; Gas: Central,1332405_b047b49bc21912dccf02abe8381180db_433118.jpg,40.772541,-111.865889,359800,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,362600,1358,3.0,3.0,3101,1909,2
24,1332145,0.12,101,Full,Salt Lake City,Salt Lake,0,1,Extra Height; Extra Width; Extra Length,,Forced Air; Gas: Central,1332145_52bacdae997771fc461bdd9bbf2d6bf4_227139.jpg,40.771963,-111.867473,310000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,315000,2683,2.0,2.0,1550,1925,2
25,1332278,0.17,101,Partial,Salt Lake City,Salt Lake,0,2,Detached; Opener,,Forced Air; Gas: Central,1332278_2a41c2a5741b7c47ff51fb3e20d512dc_189389.jpg,40.773466,-111.874094,699990,00/00/0000,2,8,,Single Family,Asphalt Shingles; Rubber (EPDM),Salt Lake,665000,1600,3.0,2.0,2803,1900,2
26,1331787,0.25,101,Partial,Salt Lake City,Salt Lake,0,0,,,Forced Air,1331787_f79effe41111c6e1995f50a6e89ae656_93359.jpg,40.773485,-111.864047,499900,00/00/0000,0,2,,Single Family,Asphalt Shingles,Salt Lake,451000,2769,5.0,4.0,3865,1870,2
27,1331737,0.11,101,Slab,Salt Lake City,Salt Lake,0,1,Detached,,Forced Air; Gas: Central,1331737_c874f270c02b9eeaa5587c498fd753b0_2548801.jpg,40.784781,-111.89768000000001,225000,00/00/0000,1,5,,Single Family,Asphalt Shingles; Pitched,Salt Lake,225000,1266,1.0,1.0,1031,1926,2
28,1331760,0.01,101,Partial; Walkout; See Remarks,Salt Lake City,Salt Lake,0,0,Parking: Uncovered,310.0,Gas: Radiant,1331760_8593a4129994fea5fdc404bb2a69ccf2_78832.jpg,40.770454,-111.854868,282500,00/00/0000,1,1,,Condo,Flat; Pvc,Salt Lake,278000,1370,2.0,1.0,1332,1907,0
29,1331596,0.05,101,None/Crawl Space,Salt Lake City,Salt Lake,0,2,2 Car Deep (Tandem),335.0,Forced Air,1331596_7e1b2f731e2953069b23d678e46e8f94_527487.jpg,40.780454999999996,-111.877274,520000,00/00/0000,1,0,,Townhouse,Asphalt Shingles,Salt Lake,520000,2965,3.0,3.0,1999,1987,1
30,1331519,0.1,101,Partial,Salt Lake City,Salt Lake,0,1,Attached,,Forced Air; Gas: Central,1331519_d7ee122c5342cfcde740b023aaf5d79c_2556431.jpg,40.779574,-111.866707,329500,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,325000,2207,3.0,2.0,1668,1941,2
31,1331438,0.07,101,Full,Salt Lake City,Salt Lake,0,2,Attached; Opener,,Forced Air; Gas: Central,1331438_b29d665d95e60ac1acb625b9cca71c7d_4519286.jpg,40.775484000000006,-111.895858,319900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,320000,1317,4.0,2.0,1552,1976,2
32,1331111,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,,463.0,,1331111_b4cad447e2357fed089011033872792e_1076525.jpg,40.771409999999996,-111.91364499999999,219900,00/00/0000,0,0,In Ground,Condo,Flat,Salt Lake,205000,1200,2.0,2.0,1137,1964,0
33,1330961,0.09,101,Full,Salt Lake City,Salt Lake,1,1,Attached; Opener,,Forced Air,1330961_3e24a63c4e07b6c15862b4730175cdba_411924.jpg,40.7783,-111.86679099999999,525000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,525900,2770,4.0,3.0,2434,1939,2
34,1330384,0.04,101,Slab,Salt Lake City,Salt Lake,2,2,Attached; Opener,85.0,Forced Air; Active Solar,1330384_b2707dbefd4d9080075c82b1d687e8fa_825256.jpg,40.785647999999995,-111.900301,315000,00/00/0000,1,0,,Single Family,Rubber (EPDM),Salt Lake,305000,926,2.0,3.0,1674,2013,2
35,1329937,0.08,101,Full,Salt Lake City,Salt Lake,0,0,Parking: Uncovered,,Gas: Radiant,1329937_6039b84fc68719ea82bc0018e134960c_479815.jpg,40.774869,-111.87208999999999,299000,00/00/0000,1,3,,Single Family,Asphalt Shingles,Salt Lake,277000,2156,1.0,2.0,2052,1914,2
36,1330141,0.06,101,None/Crawl Space,Salt Lake City,Salt Lake,1,0,,,Gas: Central; &gt;= 95% efficiency,1330141_bb18c226345e3231da3b9effaccd097c_372605.jpg,40.775988,-111.875023,295000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,305000,1200,2.0,2.0,862,1900,2
37,1329747,0.11,101,Partial,Salt Lake City,Salt Lake,0,2,Detached,,Forced Air; Gas: Central,1329747_b374a9447a93d3cbaa46422441341439_584529.jpg,40.770503000000005,-111.850825,649900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,629400,4034,4.0,3.0,2738,1935,2
39,1329172,0.13,101,Shelf,Salt Lake City,Salt Lake,0,2,2 Car Deep (Tandem); Detached,,Gas: Radiant,1329172_ce598b485a7e2de5edecc68a6fb4891a_620177.jpg,40.771963,-111.862068,529900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,520000,2904,4.0,2.0,2595,1908,2
40,1329183,0.08,101,Partial,Salt Lake City,Salt Lake,1,1,Detached; Extra Height; Storage Above,,Forced Air; Gas: Central,1329183_6d353226f27d79e27d279e37abe44dfc_1186002.jpg,40.772003999999995,-111.86438000000001,259500,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,261500,2390,2.0,2.0,1683,1911,2
41,1328035,0.16,101,Entrance; Full,Salt Lake City,Salt Lake,0,0,See Remarks; Parking: Uncovered,,Forced Air; Gas: Central,1328035_29789e2c23ad6db8c5826812140a9f24_8208593_crop_crop.jpg,40.776957,-111.88073600000001,369000,00/00/0000,1,3,,Single Family,Asphalt Shingles,Salt Lake,335000,2706,4.0,4.0,2872,1899,2
42,1327563,0.11,101,Full,Salt Lake City,Salt Lake,1,1,Attached; Opener,,Forced Air,1327563_d867ac8f4d039036957fb32677ae72b2_2487607.jpg,40.779885,-111.868048,379900,00/00/0000,1,1,,Single Family,Asphalt Shingles,,379900,1798,4.0,2.0,1932,1941,2
44,1327269,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,1,1,Built-In; Opener; Parking: Covered,446.0,See Remarks,1327269_ce7ad8dcbdbe8aae5fdcae257421155d_63845.jpg,40.774195,-111.89073300000001,219900,00/00/0000,0,0,Concrete/Gunite; Fenced; Indoor,Condo,,Salt Lake,213000,1695,2.0,2.0,1182,1962,0
46,1326977,0.31,101,Daylight; Walkout,Salt Lake City,Salt Lake,0,3,Attached; Opener,,Forced Air; Gas: Central,1326977_4ab14f853f4ba34754a2e66db9cd336f_667665.jpg,40.783152,-111.848003,950000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,915000,6945,5.0,5.0,5054,1986,2
47,1325927,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,2,Attached; Opener,335.0,Forced Air; Gas: Central,1325927_3129e2fe42cc60902d02f689191802f7_1054830.jpg,40.780485,-111.877028,465000,00/00/0000,1,0,,Townhouse,Asphalt Shingles,Salt Lake,455000,3606,2.0,3.0,1991,1987,1
48,1325928,0.22,101,Partial,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1325928_c69e4077b776cfc25322dd1f294fe8c8_498241.jpg,40.784437,-111.871785,470000,00/00/0000,1,0,,Single Family,Tar/Gravel,Salt Lake,460000,3358,4.0,2.0,2550,1950,2
49,1326795,0.08,101,Partial,Salt Lake City,Salt Lake,1,1,Detached; Opener,,Forced Air; Gas: Central,1326795_2e3a7ad3b3b43500a76ef6bdfcb65665_952211.jpg,40.774045,-111.871599,387900,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,377500,3933,3.0,2.0,2779,1925,2
50,1325790,0.12,101,Full; Partial,Salt Lake City,Salt Lake,2,0,See Remarks; Parking: Uncovered,,Forced Air; Gas: Central,1325790_52a1f29f28c45a0bae91706a01ba88dd_1023969.jpg,40.780352,-111.86745400000001,419500,00/00/0000,1,2,,Single Family,Rubber (EPDM),Salt Lake,400000,2700,3.0,3.0,1918,1939,2
51,1325661,0.26,101,Full,Salt Lake City,Salt Lake,1,0,2 Car Deep (Tandem); Built-In,,Forced Air; Gas: Central; &gt;= 95% efficiency,1325661_feb1a8ccfc08f22e5d66e19d6991186c_118701.jpg,40.780217,-111.847121,550000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,525000,4271,4.0,3.0,2940,1977,2
54,1325063,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,2,Parking: Covered,454.0,Electric; Forced Air; Gas: Central,1325063.jpg,40.77228,-111.88696599999999,225000,00/00/0000,0,0,Concrete/Gunite; Heated; In Ground; Indoor; With Spa,Condo,Rubber (EPDM); Tar/Gravel,Salt Lake,218000,1748,2.0,2.0,1110,1976,0
55,1324629,0.13,101,Partial,Salt Lake City,Salt Lake,0,2,Detached; Opener,,Forced Air; Gas: Central,1324629.jpg,40.772303,-111.86445900000001,419000,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,414400,3469,3.0,2.0,2351,1906,2
57,1324494,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Attached; Opener; Parking: Covered,217.0,Electric; Forced Air,1324494.jpg,40.770773,-111.8861,289900,00/00/0000,2,2,,Condo,,Salt Lake,277500,1998,2.0,2.0,1380,1979,0
58,1323678,0.11,101,Daylight; Entrance; Full,Salt Lake City,Salt Lake,2,2,Detached; Opener; Storage Above,,Electric: Radiant; Gas: Central; Gas: Stove,1323678.jpg,40.781755,-111.88751200000002,524900,00/00/0000,1,3,,Single Family,Flat; Pvc,Salt Lake,517000,4273,3.0,3.0,2265,1954,2
60,1323824,0.14,101,Partial,Salt Lake City,Salt Lake,1,0,See Remarks,,Forced Air; Gas: Central,1323824_1.jpg,40.783339,-111.895229,299900,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,295000,1246,2.0,2.0,2075,1890,2
61,1323825,0.36,101,Daylight; Entrance; Full,Salt Lake City,Salt Lake,3,5,Attached; Extra Width; Opener; Extra Length,,Electric: Baseboard; Forced Air; Gas: Central,1323825_970e4871e4a545866b4ee2a8edccf1d8_820604.jpg,40.77543,-111.84308300000001,849900,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,800000,7395,8.0,6.0,6447,1978,2
62,1323526,0.29,101,Walkout,Salt Lake City,Salt Lake,1,3,Attached; Opener,,Forced Air; Gas: Central,1323526.jpg,40.790446,-111.886693,725000,00/00/0000,1,0,,Single Family,Wood Shake Shingles,Salt Lake,715000,5291,3.0,5.0,4060,1975,2
63,1323584,0.09,101,Full,Salt Lake City,Salt Lake,0,0,See Remarks; Parking: Uncovered,,See Remarks; Forced Air; Gas: Central,1323584.jpg,40.771918,-111.882681,399500,00/00/0000,0,4,,Single Family,Asphalt Shingles,Salt Lake,390000,2290,6.0,2.0,2929,1908,2
64,1323212,0.08,101,Partial,Salt Lake City,Salt Lake,1,1,Opener,,Forced Air; Gas: Central,1323212.jpg,40.772591999999996,-111.854845,369000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,369000,2412,2.0,1.0,1331,1907,2
65,1323306,0.01,101,Partial; Walkout; See Remarks,Salt Lake City,Salt Lake,0,0,Parking: Uncovered,310.0,Gas: Radiant,1323306.jpg,40.770338,-111.854809,279900,00/00/0000,1,1,,Condo,Flat; Pvc,Salt Lake,278000,1370,2.0,1.0,1332,1907,0
67,1322205,0.09,101,None/Crawl Space,Salt Lake City,Salt Lake,1,0,,,Forced Air; Gas: Central,1322205.jpg,40.783863000000004,-111.895696,295000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,308500,1271,2.0,2.0,1333,1902,2
68,1322274,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,2,Built-In; Heated; Opener; Parking: Covered,1086.0,Forced Air,1322274.jpg,40.784012,-111.877146,625000,00/00/0000,0,0,Fenced; Heated; In Ground,Condo,Composition,Salt Lake,625000,4984,2.0,3.0,1702,2009,0
70,1321943,0.06,101,Walkout,Salt Lake City,Salt Lake,0,0,,,Forced Air,1321943.jpg,40.772209000000004,-111.874812,459500,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,450000,2300,3.0,3.0,3012,1909,2
71,1320681,0.16,101,Partial,Salt Lake City,Salt Lake,1,0,Parking: Uncovered,,Forced Air,1320681.jpg,40.772314,-111.86513899999999,325000,00/00/0000,1,0,,Single Family,Asphalt Shingles; Composition,Salt Lake,335000,2779,2.0,2.0,1449,1906,2
72,1320726,0.21,101,Partial,Salt Lake City,Salt Lake,0,1,See Remarks; Detached; Parking: Covered,,Forced Air,1320726.jpg,40.769666,-111.86028300000001,675000,00/00/0000,1,5,,Single Family,Asphalt Shingles,Salt Lake,660000,6327,6.0,6.0,4695,1916,2
74,1320518,0.12,101,Full,Salt Lake City,Salt Lake,0,2,Detached; Opener,,Forced Air; Gas: Central,1320518.jpg,40.77081,-111.850614,949000,00/00/0000,1,1,,Single Family,Asphalt Shingles,Salt Lake,920000,7071,5.0,4.0,3759,1911,2
75,1320295,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,2,1,Opener; Parking: Covered,217.0,See Remarks; Electric,1320295.jpg,40.770905,-111.886101,279900,00/00/0000,0,0,,Condo,,Salt Lake,265000,1924,2.0,2.0,1380,1979,0
76,1320550,0.13,101,Partial; Shelf,Salt Lake City,Salt Lake,0,2,Detached; Opener; Parking: Covered; Parking: Uncovered; Rv Parking,,Forced Air; Gas: Central; &gt;= 95% efficiency,1320550.jpg,40.773097,-111.86626100000001,426000,00/00/0000,2,0,,Single Family,Asphalt Shingles,Salt Lake,400000,1915,3.0,3.0,2371,1920,2
77,1320773,0.14,101,Entrance; Full; Walkout,Salt Lake City,Salt Lake,0,3,Detached; Parking: Uncovered,,Forced Air; Gas: Central,1320773.jpg,40.77921,-111.866018,449900,00/00/0000,0,7,,Single Family,Asphalt Shingles,Salt Lake,430000,3074,5.0,3.0,2972,1908,2
78,1319923,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,1,0,See Remarks; Parking: Covered,289.0,Forced Air,1319923.jpg,40.77548,-111.87404,215000,00/00/0000,0,0,,Condo,,Salt Lake,205300,1635,2.0,2.0,1100,1968,0
79,1320348,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,2,See Remarks; Parking: Covered,296.0,Forced Air; Gas: Central,1320348.jpg,40.773058,-111.88447,360000,00/00/0000,0,2,Above Ground; Fenced; Heated; Indoor; With Spa,Condo,Asphalt Shingles,Salt Lake,350000,2688,2.0,3.0,1884,1985,0
80,1319548,0.16,101,Full,Salt Lake City,Salt Lake,0,2,Detached; Opener; Parking: Uncovered,,Forced Air; Gas: Central,1319548.jpg,40.781231,-111.888254,424000,00/00/0000,0,0,,Single Family,Metal; Pitched,Salt Lake,415000,3081,6.0,3.0,2887,1927,2
81,1319606,0.48,101,Daylight; Entrance; Walkout,Salt Lake City,Salt Lake,3,2,Attached; Parking: Uncovered,,Forced Air; Gas: Central,1319606.jpg,40.788405,-111.888222,736000,00/00/0000,1,4,Concrete/Gunite; Fenced; Heated; In Ground,Single Family,Asphalt Shingles,Salt Lake,736000,5871,5.0,3.0,4756,1959,2
83,1318906,0.09,101,Shelf,Salt Lake City,Salt Lake,1,0,,,Gas: Central,1318906.jpg,40.77146,-111.861703,455000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,445000,2608,3.0,2.0,2764,1896,2
84,1318980,0.16,101,Entrance; Partial; Walkout,Salt Lake City,Salt Lake,0,1,Detached,,Forced Air; Gas: Central,1318980.jpg,40.770412,-111.861977,295000,00/00/0000,0,3,,Single Family,Asphalt Shingles,Salt Lake,295000,2156,3.0,1.0,1385,1912,2
