,ListNo,Acres,Area,Basemnt,City,County,Deck,GaragCap,Garage,HOAFee,Heat,Image,Latitude,Longitude,LstPrice,OpenHseDt,Patio,PkgSpacs,Pool,PropType,Roof,SchDist,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt,Prop_Type_num
104,1368470,0.07,101,Partial,Salt Lake City,Salt Lake,0,0,,,Forced Air,1368470_45f2e075f02b0f544bad613b9dbaec8d_101130_crop.jpg,40.779369,-111.895055,315000,00/00/0000,1,0,,Single Family,Asphalt Shingles; Wood Shake Shingles,Salt Lake,317150,2072,3.0,1.0,1511,1905,2
105,1368531,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,2,2,Attached; Opener,100.0,Forced Air,1368531_d7d24ec1c0814d8d600a2837d8fbb0f0_2574758.jpg,40.785647999999995,-111.900301,299000,00/00/0000,1,0,,Townhouse,Rubber (EPDM),Salt Lake,300000,906,2.0,3.0,1682,2014,1
106,1367985,0.11,101,Partial; Shelf,Salt Lake City,Salt Lake,1,0,Parking: Uncovered; Extra Length; Workshop,,Gas: Central; Gas: Stove; Hot Water; &gt;= 95% efficiency,1367985_0ec6480309721846652add621f22f835_129729.jpg,40.783117,-111.897227,310000,00/00/0000,1,3,,Single Family,Asphalt Shingles,Salt Lake,307000,1627,2.0,1.0,1544,1903,2
107,1368099,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,2,Opener; Parking: Covered,467.0,Electric; Forced Air,1368099_dfc8dce293a0b0f2bd992fe6ffa7fd07_1943912.jpg,40.774741999999996,-111.893074,419000,00/00/0000,3,0,Heated; Indoor; With Spa,Condo,,Salt Lake,400000,2014,2.0,2.0,1508,1976,0
108,1367552,0.43,101,Entrance; Full,Salt Lake City,Salt Lake,1,3,Attached; Extra Height; Extra Width; Opener,,Forced Air; Gas: Central,1367552_f07cb76d64b5e7fa0f382d620f2af19b_984605.jpg,40.789304,-111.886734,760000,00/00/0000,2,0,,Single Family,Asphalt Shingles,Salt Lake,745000,6200,4.0,4.0,3588,1960,2
109,1367553,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Detached; Parking: Covered,215.0,Electric,1367553_f3f15dbe0f673e977f0bade92f660376_16571.jpg,40.770959999999995,-111.864092,260000,00/00/0000,0,0,,Condo,Composition,Salt Lake,275000,2022,2.0,1.0,844,1938,0
110,1367757,0.11,101,Shelf,Salt Lake City,Salt Lake,0,1,See Remarks; Detached; Extra Width; Storage Above,,Forced Air; Gas: Central,1367757_48bbb11f8904bbd8d898313054568f21_2706005.jpg,40.780356,-111.87041599999999,389500,00/00/0000,0,2,,Single Family,Asphalt Shingles,Salt Lake,385000,2316,3.0,2.0,1960,1914,2
111,1367760,0.12,101,Entrance; Partial; Walkout,Salt Lake City,Salt Lake,1,1,Detached; Parking: Uncovered; Workbench,,Forced Air; Gas: Central,1367760_9610044d71495beeedc3103ed34c8ada_3168462.jpg,40.77809,-111.871936,410000,00/00/0000,1,2,,Single Family,Asphalt Shingles,Salt Lake,420000,2885,4.0,3.0,2611,1895,2
112,1365778,0.27,101,Entrance; Partial,Salt Lake City,Salt Lake,0,3,Attached; Opener; Extra Length,650.0,Gas: Radiant; Gas: Stove,1365778_a4b4963953abe03d158c17a9a54e9a13_496650.jpg,40.782183,-111.88055700000001,858000,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,810000,7200,4.0,4.0,4312,1999,2
113,1365804,0.19,101,Partial,Salt Lake City,Salt Lake,0,2,Detached; Extra Width; Opener; Storage Above,,Forced Air; Gas: Central; Gas: Stove,1365804_a4f372bae1cc1320438f2b8d088c44d4_44180_270.jpg,40.773463,-111.86359499999999,459000,00/00/0000,1,5,,Single Family,Asphalt Shingles,Salt Lake,467000,5382,3.0,3.0,2411,1906,2
114,1365661,0.12,101,Daylight; Full,Salt Lake City,Salt Lake,1,0,,,Forced Air; Gas: Central,1365661_939a7f052b4b94ea08aaac1709d113bd_847626.jpg,40.779806,-111.871499,360000,00/00/0000,1,3,,Single Family,Asphalt Shingles,Salt Lake,360500,1380,3.0,2.0,2030,1908,2
115,1364945,0.05,101,Shelf,Salt Lake City,Salt Lake,16,0,,,Forced Air; Gas: Stove,1364945_c0e277f2cfee9f4f0539a4111dc52fd8_82108.jpg,40.771984,-111.870275,234900,00/00/0000,54,0,,Single Family,Asphalt Shingles; Pitched,Salt Lake,240000,942,3.0,1.0,1310,1934,2
116,1364562,0.0,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,See Remarks; Detached; Opener; Parking: Covered,215.0,Electric,1364562_eae8db45ea2569c17a8508ebc560538b_511528.jpg,40.770832,-111.86409099999999,260000,00/00/0000,1,2,,Condo,Composition,Salt Lake,280000,2023,2.0,1.0,848,1938,0
117,1364685,0.01,101,None/Crawl Space,Salt Lake City,Salt Lake,0,1,Built-In,430.0,Electric; Forced Air,1364685_c7f83696e83b0500d188312bbe83bcea_1740157.jpg,40.774001,-111.892032,259900,00/00/0000,0,0,,Condo,Composition,Salt Lake,249800,2176,1.0,2.0,1200,1976,0
119,1363510,0.07,101,Partial,Salt Lake City,Salt Lake,0,0,,,Forced Air; Gas: Central,1363510_4a963851b9483c0cfe100226f84c6e4b_3342724.jpg,40.777190000000004,-111.86984299999999,329900,00/00/0000,0,0,,Single Family,Asphalt Shingles,Salt Lake,336400,2326,4.0,2.0,2158,1910,2
120,1362949,0.13,101,Full,Salt Lake City,Salt Lake,0,2,Detached; Opener; Storage Above,,Forced Air; Gas: Central,1362949_9bb6a79cc7789632a7bb612394b4c570_1172436.jpg,40.771195,-111.850002,879900,00/00/0000,1,0,,Single Family,Asphalt Shingles,Salt Lake,829350,6624,4.0,3.0,2837,1926,2
